Priority,Structure Template,Aliases,Type,Prescription,Constraint Type,Constraint,Comment
1,PTV,PTV.*,Target,Default: 1800cGy,DoseSpill,DSV105%<15%,SB Constraint
2,A_Aorta,,Oar,,Dose,D0.035cc<3700cGy,
3,A_Aorta,,Oar,,Dose,D10cc<3100cGy,
4,Bladder_Wall,,Oar,,Dose,D0.035cc<1840cGy,
5,Bladder_Wall,,Oar,,Dose,D15cc<1140cGy,
6,BrachialPlex,,Oar,,Dose,D0.035cc<1750cGy,
7,BrachialPlex,,Oar,,Dose,D3cc<1400cGy,
8,Brainstem,,Oar,,Dose,D0.035cc<1500cGy,
9,Brainstem,,Oar,,Dose,D0.5cc<1000cGy,
10,Bronchus,,Oar,,Dose,D0.035cc<1330cGy,
11,Bronchus,,Oar,,Dose,D0.5cc<1240cGy,
12,Bronchus_Main,,Oar,,Dose,D0.035cc<2020cGy,
13,Bronchus_Main,,Oar,,Dose,D4cc<1050cGy,
14,CaudaEquina,,Oar,,Dose,D0.035cc<1600cGy,
15,CaudaEquina,,Oar,,Dose,D5cc<1400cGy,
16,Cochlea_L,,Oar,,Dose,D0.035cc<900cGy,
17,Cochlea_R,,Oar,,Dose,D0.035cc<900cGy,
18,Colon,,Oar,,Dose,D0.035cc<1840cGy,
19,Colon,,Oar,,Dose,D20cc<1430cGy,
20,Duodenum,,Oar,,Dose,D0.035cc<1240cGy,
21,Duodenum,,Oar,,Dose,D5cc<1120cGy,
22,Duodenum,,Oar,,Dose,D10cc<900cGy,
23,Esophagus,,Oar,,Dose,D0.035cc<1540cGy,
24,Esophagus,,Oar,,Dose,D5cc<1190cGy,
25,Eye_L,,Oar,,Dose,D0.035cc<1000cGy,
26,Eye_L,,Oar,,Dose,D0.2cc<800cGy,
27,Eye_R,,Oar,,Dose,D0.035cc<1000cGy,
28,Eye_R,,Oar,,Dose,D0.2cc<800cGy,
29,Femur_Head_L,,Oar,,Dose,D10cc<1400cGy,
30,Femur_Head_R,,Oar,,Dose,D10cc<1400cGy,
31,GreatVes,,Oar,,Dose,D0.035cc<3700cGy,
32,GreatVes,,Oar,,Dose,D10cc<3100cGy,
33,Heart,,Oar,,Dose,D0.035cc<2200cGy,
34,Heart,,Oar,,Dose,D15cc<1600cGy,
35,Ileum,,Oar,,Dose,D0.035cc<1540cGy,
36,Ileum,,Oar,,Dose,D5cc<1190cGy,
37,Jejunum,,Oar,,Dose,D0.035cc<1540cGy,
38,Jejunum,,Oar,,Dose,D5cc<1190cGy,
39,Kidney_Cortex,,Oar,,MinVolumeSpared,MVS840cGy>200cc,
40,Kidney_Hilum,,Oar,,Dose,D66%<1060cGy,
41,Kidney_Hilum,,Oar,,Dose,D0.035cc<1860cGy,
42,Liver,,Oar,,MinVolumeSpared,MVS910cGy>700cc,
43,Lungs,,Oar,,MinVolumeSpared,MVS700cGy>1500cc,
44,Lungs,,Oar,,MinVolumeSpared,MVS740cGy>1000cc,
45,OpticChiasm,,Oar,,Dose,D0.035cc<1000cGy,
46,OpticChiasm,,Oar,,Dose,D0.2cc<800cGy,
47,OpticNrv_L,,Oar,,Dose,D0.035cc<1000cGy,
48,OpticNrv_L,,Oar,,Dose,D0.2cc<800cGy,
49,OpticNrv_R,,Oar,,Dose,D0.035cc<1000cGy,
50,OpticNrv_R,,Oar,,Dose,D0.2cc<800cGy,
51,PenileBulb,,Oar,,Dose,D0.035cc<3400cGy,
52,PenileBulb,,Oar,,Dose,D3cc<1400cGy,
53,Pericardium,,Oar,,Dose,D0.035cc<2200cGy,
54,Pericardium,,Oar,,Dose,D15cc<1600cGy,
55,Rectum,,Oar,,Dose,D0.035cc<1840cGy,
56,Rectum,,Oar,,Dose,D20cc<1430cGy,
57,Rib,,Oar,,Dose,D0.035cc<3000cGy,
58,Rib,,Oar,,Dose,D1cc<2200cGy,
59,SacralPlex,,Oar,,Dose,D0.035cc<1600cGy,
60,SacralPlex,,Oar,,Dose,D5cc<1440cGy,
61,Skin,,Oar,,Dose,D0.035cc<2600cGy,
62,Skin,,Oar,,Dose,D10cc<2300cGy,
63,SpinalCord,,Oar,,Dose,D0.035cc<1400cGy,
64,SpinalCord,,Oar,,Dose,D0.35cc<1000cGy,
65,SpinalCord,,Oar,,Dose,D1.2cc<700cGy,
66,SpinalCord~_Prt,,Oar,,Dose,D0.035cc<1400cGy,
67,SpinalCord~_Prt,,Oar,,Dose,D10%<1000cGy,
68,Stomach,,Oar,,Dose,D0.035cc<1240cGy,
69,Stomach,,Oar,,Dose,D10cc<1120cGy,
70,Trachea,,Oar,,Dose,D0.035cc<2020cGy,
71,Trachea,,Oar,,Dose,D4cc<1050cGy,
72,V_Venacava_S,,Oar,,Dose,D0.035cc<3700cGy,
73,V_Venacava_S,,Oar,,Dose,D10cc<3100cGy,
